Column1,Kichwa,Spanish,Sentimineto
631,kamaykurina,auto evaluar.,neutro
632,kamaykurina(w),auto evaluar,neutro
633,kamaykuriy,auto-evaluacion,positivo
634,kamaykuy,evaluacion,positivo
635,kamaypakta,mandato,positivo
636,kamayuk,cuidador  facultades de autoridad,positivo
637,kamayuk wasi,ministerio,neutro
638,kamikuy,agravio,neutro
639,kamu,libro,positivo
640,kamukuska,biblioteca,neutro
641,kamuti,camote,neutro
642,kamuyachik,imprenta,positivo
643,kan,tu,neutro
644,kana,ser / estar,neutro
645,kancha,afuera,positivo
646,kancha shuti,sustantivo colectivo,neutro
647,kanchachani milka,cuadro estadastico,positivo
648,kanchachani shuyu,grafico estada­stico,neutro
649,kanchachanikamay,estadastica,neutro
650,kanchaman,hacia fuera,neutro
651,kanchayashka,convexo,neutro
652,kanchis,siete  7,neutro
653,kanchis chunka,setenta  70,neutro
654,kanchis patsak,setecientos  700,neutro
655,kankuna / kikinkuna,ustedes / vosotros,neutro
656,kanllayay,externo,neutro
657,kapak,diciembre,neutro
658,kapak apuk,gobierno,neutro
659,kapak killa,diciembre,neutro
660,kapak llakta,reino,positivo
661,kapak saylla,meridiano,neutro
662,kapak shuyu,mapa poli­tico,positivo
663,kapakchi tantanakuy,organizacion poli­tica,neutro
664,kapakchunkana,ajedrez,positivo
665,kapakkamay,politica,positivo
666,kapakllakta,imperio,neutro
667,kapakmarka,imperio  reinado,neutro
668,kapaktukukamay,politica,neutro
669,kapasaylla,meridiano,neutro
670,kapisayu,poncho  alargado y entero (kitukara).,positivo
671,kapisayu (kitukara),poncho  alargado y entero,positivo
672,kapuk  pukushka,producto,positivo
673,kapulli,capuli,neutro
674,kara,corteza  piel  cascara,neutro
675,karana,dar regalo.,positivo
676,karaskruyuwa,crustaceos,positivo
677,kari,hombre,neutro
678,kari atallpa,gallo,neutro
679,karilla,gallardo,neutro
680,karipurakuyay,homosexualidad,neutro
681,kariwarmikanakamay,sexualidad,neutro
682,karkanka  sakru,esqueleto,positivo
683,karkay,vertebrado,positivo
684,karu,lejos,neutro
685,karuwillay,telegrama,neutro
686,karuyari,telefono,neutro
687,karuyarik wasilli,cabina telefonica,neutro
688,karwa,llovizna,neutro
689,karway killa,agosto,neutro
690,kasha,espina,neutro
691,kashakarayukwa,equidermos,neutro
692,kasi,tranquilo  quieto,neutro
693,kasik,paz,positivo
694,kasilla,tranquilidad,positivo
695,kasku,pecho,neutro
696,kasku tullu,esternon,neutro
697,kaspana,chamuscar,negativo
698,kaspi,palo  madera,neutro
699,kaspimakana,espada,negativo
700,katana  killpana,cubrir,negativo
701,katariy,levantamiento,positivo
702,kati paktachik,complemento indirecto.,neutro
703,katichay,prosa,neutro
704,katichina,imitar.,neutro
705,katik iñu,punto seguido.,neutro
706,katik iñu(w),punto seguido,neutro
707,katik paktachik kp,complemento indirecto,neutro
708,katikmanyaypurachi,coseno,neutro
709,katikmanyaypuramuchi,secante,neutro
710,katikmanyaypuramunchi,secante,neutro
711,katikmanyaypuranchi,coseno,neutro
712,katiknina,narrar,positivo
713,katikunkuy  purikunkuy,epidemia,negativo
714,katina,seguir,negativo
715,katinalla,modelo,positivo
716,katinti yupaykuna,series numericas,neutro
717,katisuyu rikuchik iñu,puntos colaterales,neutro
718,katsu,escarabajo,neutro
719,katuranti,negocio,positivo
720,katuy,vender,positivo
721,katuyranti,feria,positivo
722,katuyrantin chani,el valor del intercambio,neutro
723,katuyrantin chani,el valor del intercambio,neutro
724,kawalli,lente  gafas,neutro
725,kawana,cantar,positivo
726,kaway,observacion.,positivo
727,kawchuna,torcer,negativo
728,kawi,rombo,neutro
729,kawikuk,romboide,neutro
730,kawilli,camilla,neutro
731,kawitu-tiyarina,mueble,neutro
732,kawpuna,torcer,neutro
733,kawsa marka runa,nacionalidades.,neutro
734,kawsakkuna,seres,positivo
735,kawsana,vivir,positivo
736,kawsay,cultura  vida,positivo
737,kawsay killka,biografia,positivo
738,kawsay killkamachiy,registro civil,neutro
739,kawsay mallki,herencia genetica,positivo
740,kawsaykuk,celula,neutro
741,kawsaykuktantalli,tejido,neutro
742,kawsaymarka,nacionalidad,positivo
743,kawsaypacha,medio ambiente,positivo
744,kawsaypura,interculturalidad,positivo
745,kawsayrikcha,novela.,neutro
746,kawsayrikcha w),novela,neutro
747,kawsayshuktakayariy,aculturacion,negativo
748,kawsayta chikipi churashpa,poniendose en peligro,negativo
749,kawsayuk,celula,neutro
750,kay,aqui,positivo
751,kaya,mañana,positivo
752,kayachina,convocar,positivo
753,kayana,invitar/ llamar,positivo
754,kayna,ayer,neutro
755,kaytarikuchi,estados fisicos,positivo
756,kaytu,nervio,neutro
